"id","nom","ingredients"
241060,Tarte aux fraises et à la rhubarbe (congelée),"fraises, rhubarbe, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
241061,Tarte aux pommes et au sucre à la crème (congelée),"pommes, sirop d'érable, crème, sucre, amidon. croute: farine de blé enrichie, graisse végétale, eau, oeuf, lait, vinaigre, sel. "
241077,Sauce rosée,"tomate, oignon, carotte, ail, crème, pesto, amidon de maïs"
241080,Chocolat au lait  38% pour cuisiner," sucre de canne roux, beurre de cacao, lait entier en poudre, pâte de cacao, vanille en poudre "
241083,Boîte de chocolat,"crème,poudre de lait entier,pâte de cacao,sucre,lécithine de soja, vanille,amandes,framboise,miel de sarrasin,thé,café,orange,noisette,vinaigre balsamique,fleur de sel, et alcool (bailley's, amarula,bière et tia maria)"
241084,Pâtes aux oeufs," semoule de blé dur, oeuf"
241085,Pâtes fraîches aux poivrons orangés,"semoule de blé dur, poivrons orangés"
241086,Pâtes fraîches aux épinards,"semoule de blé dur, épinards "
241088,"Ravioli agneau, pommes et fromage Bleu","semoule de blé dur, agneau, pomme, fromage bleu, oeufs, chapelure de pain,sel,poivre"
241092,Ravioli au veau ,"semoule de blé dur, veau, oeufs, chapelure de pain,sel,poivre"
241108,Terrines de pintade aux abricots,"pintade,abricots, épices, nitrite, substance laitière"
241116,Viande hachée - veau,veau
241127,Yogourt Café,"lait de chèvre pasteurisé, sucre de canne roux, extrait de café, ferment"
241129,Suprême de faisan,faisan
241133,Suprême de pintade,pintade
243009,Miel brut,"miel brut
"
243043,Pain de sucre mou,sirop d'érable
243045,Sirop de fleurs de Pissenlit,"fleurs de pissenlit, sucre brun de canne, eau, pectine et acide ascorbique"
243049,Tartinade rameaux de Cèdre des bois et clémentine,"décoction de rameaux de cèdre, eau, sucre de canne brun, agar-agar et acide citrique"
243052,Sirop de fleurs d'Acacia ,"concentré de fleurs d'acacia, eau, sucre brun de canne, pectine et acide ascorbique"
243053,"Sirop de Sapin, Épinette et Vinaigrier ","rameaux de sapin, rameaux d'épinette noire, fruit de vinaigrier, eau, sucre brun de canne et acide ascorbique"
243064,Aiguillettes de canard,canard
243068,Tarte aux framboises (cuite),"ingrédients: framboises, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
243070,Tarte aux pommes et au sucre à la crème (cuite),"pommes, sirop d'érable, crème, sucre, amidon. coute: farine de blé enrichie, graisse végétale, eau, oeuf, lait, vinaigre, sel. "
243075,MACARONI CHINOIS AU TOFU,"macaroni, tofu, oignons, sauce soya, rutabaga, céleri, poivron vert, mélasse, huile d'olive, ail, aromates"
243077,Petits pains farcis à la viande,"boeuf, oignon, ketchup, aromates, huile, pain blanc"
243079,Pâté chinois de grand-mère,"pommes de terre, boeuf, maïs grains et crème, oignons, lait, ail, huile olive, aromates "
243080,QUICHE VÉGÉTARIENNE,"oeufs, lait, fromage, oignon, oignon vert, poivron, croûte: pâtisserie d'annie"
243084,Sauce végétarienne,"tomate, oignon, carotte, céleri, épices"
243085,Chocolat  noir 54%,"fèves de cacao,beurre de cacao,sucre,lécithine de soya,vanille "
243087,"Cannelloni au veau, frais","semoule de blé dur, veau, oeufs, chapelure de pain"
243092,Lasagne à la viande,"semoule de blé dur, oeufs, boeuf et porc régionaux, tomate, oignon, carotte, céleri, poivron, épices."
243098,MAISON DE SUCRE DU PAYS,sirop d'érable
243102,RÔTI DE POITRINE DE DINDE ATTACHÉE,rôti de poitrine de dinde attachée
243104,"JUS D'HERBE DE BLÉ PUR, CONGELÉ",jus d'herbe de blé pur
243113,Escalopes de veau,veau
243116,Rôti de palette de veau,veau
243117,Farine de sarrasin,grain de sarrasin biologique.
243118,Feuilleté Veau fumé et camembert,"pâte feuilletée(farine de blé enrichie, huile végétale,graine de coton,lécithine de soya,eau,sirop de maïs,sel,acide ascorbique,) veau, veau fumé,camenbert:(lait,crème,culture bactérienne,sel,enzyme microbienne,chlorure de calcium."
243126,Yogourt VANILLE,"lait de chèvre pasteurisé, sucre de canne roux, ferment, extrait de vanille pure"
244011,"Saucisses Beaupré, sans gluten","wapiti, porc, sel, poivre, poudre d'oignon, origan,  poudre de chili, basilic, sauge, clou de girofle, piment fort, ail"
244014,Saucisses Merguez Sans Gluten,"wapiti, porc,eau, épices, sel, farine de maïs, farine de riz, erythorbate de sodium"
244028,Miel de fleurs de bleuets,miel
244046,Terrine de foie gras,"foie gras,sel, et poivre"
244050,Sauce spaghetti 100% CANARD ,"canard entier, tomate, oignon, céleri, carotte, ail, feuille laurier, marjolaine, basilic, sel, poivre"
244053,Tourtière de canard ,"magret de canard haché, gras de canard, oignon, pommes de terre, canelle, clou girofle, feuille laurier "
244055,Canard entier ,canard
244059,Tarte aux fraises et à la rhubarbe (cuite),"fraises, rhubarbe, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
244076,PETITS PAINS FARCIS AUX OEUFS,"oeufs, mayonnaise, oignon vert, poivrons rouges, aromates, pain blanc"
244081,Soupe poulet et nouilles,"bouillon poulet maison, oignon, carotte, nouilles juliennes, poulet, ail, aromates"
244085,Sauce all arrabiata,"tomate, oignon, artichaut, bacon, piment fort frais, cayenne "
244099,LAPIN ENTIER,lapin
244106,POITRINE DE DINDE DÉSOSSÉE,poitrine de dinde désossée
244119,Steak de contre-filet de veau,veau
244132,Canneberges séchées à l'orange,canneberges
244136,Terrine de pintade aux canneberges,"pintade,fines herbes, canneberges,épices,nitrite, substances laitières"
244137,Perdrix entière,perdrix
245016,Filet-Mignon,wapiti
245022,Cubes à mijoter,wapiti
245032,Chandelle Hibou,cire d'abeille pure
245037,Épinard bio, épinard
245039,Sirop d'érable mixte,sirop d'érable ambré et foncé
245042,Noyaux d'Argousier séchés,noyaux d'argousier séchés
245053,Tisane de feuilles de Bleuet sauvage ,feuilles de bleuet sauvage séchées
245056,Tisane de fleurs de calendula,tête de fleurs de calendula
245065,Graisse de canard ,gras de canard
245078,Galettes aux pommes et noix de coco,"farine blé moulin la pierre, compote de pommes non sucrée, noix de coco non sucrée, sucre bio, huile canola, vanille"
245082,Lasagne,"sauce tomates, boeuf, oignon, carotte, céleri, crème tomates, pâtes, mozzarella, aromates"
245085,PÂTÉ AU SAUMON,"pommes de terre, saumon, lait, beurre, aromates, croûte: farine moulin la pierre, graisse végétale, eau, lait, oeuf"
245091,"Chocolat noir 71,7 % pour cuisiner","sucre de canne roux, beurre de cacao, pâte de cacao, vanille en poudre"
245099,Ravioli au bison,"semoule de blé dur,bison, oeufs, chapelure de pain,vin rouge,épices,ail,sel,poivre"
245101,Ravioli courges/cardamome,"semoule de blé dur, courge butternut,crème 35%, cardamome, oeufs, chapelure de pain"
246002,Oeuf d'autruche pour manger.,aucun
246022,Faux-Filet,wapiti
246034,Foie gras au torchon ,"foie gras, vin blanc, sel, poivre"
246039,Jus de Pimbina sans sucre  (sac glaçons),"pimbina, eau"
246045,Sirop d'érable catégorie Foncé (anciennement Médium B),sirop d'érable
246047,Tartinade de Cassis ,"cassis, eau, sucre brun de canne, pectine et acide ascorbique"
246050,Gelée à l'érable,"sirop d'érable, eau, carraghénine"
246054,Tisane de feuilles de Pissenlit ,feuilles de pissenlit séchées
246062,Magret de canard,magret de canard
246065,Tarte aux bleuets (congelée),"bleuets, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
246066,Tarte aux framboises (congelée),"framboises, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
246068,Tarte crémeuse au sirop d'érable (congelée),"sirop d'érable, crème, sucre, amidon. croute: farine de blé enrichie, graisse végétale, eau, oeuf, lait, vinaigre, sel. "
246070,Saucisse de canard,"poitrine de canard, gras de canard, oignon, persil, poivre et sel"
246079,Effiloché de porc,"porc de la jambonnière effiloché, bouillon maison, salsa, cassonade, moutarde de dijon, aromates, servie sur riz avec fèves et carottes"
246081,Fèves au lard de Mamy,"haricots, mélasse, oignons, ketchup, sirop d'érable, lard salé de la jambonnière, aromates"
246083,Macaroni chinois au porc,"macaroni, porc jambonnière, oignons, sauce soya, rutabaga, céleri, poivron vert, mélasse, huile, olive, ail, aromates"
246088,Sauce à spaghetti,"boeuf, sauce tomates, oignon, carotte, céleri, crème tomates, aromates"
246091,Sauce forestière," champignons (pleurote et portobello),oignon, crème fraîche, poivre vert,amidon de maïs"
246097,"Cannelloni aux légumes grillés, CONGELÉ (sous-vide)","semoule de blé dur, carotte,oignon, aubergine, courgette, céleri, oeufs, chapelure de pain"
246109,VIANDE HACHÉE AUX POMMES,"lapin, eau, protéine, soya chapelure, blé grillé, sel, épices, pommes"
246116,FONDUE CHINOISE DE DINDE,tranches de dinde pour fondue 
246130,Lanières de veau,veau
246139,Cailles jumbo,caille
246141,Suprêmes de pintade,pintade
247015,Contre-Filet,wapiti
247019,Cubes à brochette,wapiti
247033,Sureau congelé,fruit de sureau
247038,Tisane de feuilles de Verges d'Or ,feuilles de verges d'or séchées
247039,Tisane de feuilles d'Ortie ,feuilles d'ortie séchées
247040,Cassoulet au Canard,"haricots, confit de canard, saucisse maison de canard, (viande de magret de canard, gras de canard, ail poivre), bouillon de canard, pâte de tomate, oignon, carotte, sel, poivre."
247049,Tarte aux fraises (congelée),"fraises, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
247052,Tarte aux framboises et aux pommes (congelée),"framboises, pommes, sirop d'érable, sucre, amidon. croute: farine de blé enrichie, graisse végérale,eau, vinaigre, sel, oeufs et lait."
247053,Tarte aux quatre fuits (congelée),"framboises, fraises, pommes, bleuets, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
247063,Muffins aux framboises et crème sûre,"farine blé moulin la pierre, framboises, crème sûre, sucre bio, oeufs, huile canola, aromates"
247065,Muffins orange et dattes ,"farine blé moulin la pierre, oranges, dattes, sucre bio, huile canola, oeuf"
247076,Barre de chocolat bio alto el sol (Pérou),"pâte de cacao,sucre, beurre de cacao,lécithine de soja,vanille naturelle."
247080,"Cannelloni aux légumes grillés, frais","semoule de blé dur, carotte,oignon, aubergine, courgette, céleri, oeufs, chapelure de pain"
247082,Ensemble découverte ( 2 portions),se référer aux ingrédients selon les items
247087,Lasagne aux épinards et ricotta,"semoule de blé dur, oeuf, tomate, ricotta, épinards, oignon, carotte, céleri,"
247096,TERRINE POMMES ET CANNEBERGES,"lapin, eau, oignon, épices, sel, ail, sucre, pommes, canneberges, erythorbate, nitrite"
247097,DINDE ENTIÈRE ,dinde entière 
247098,TOURNEDOS DE DINDE BARDÉS DE BACON,"poitrine de dinde, bacon"
247100,Bleuets congelés,bleuets
247109,Filet mignon de veau,veau
247115,Lait 2 litres (contenant plastique),lait de chèvre pasteurisé 
248026,"Escalope de foie gras, sous vide ",foie gras
248033,"Terrine de foie gras, canneberges ","foie gras, canneberges, vin blanc, sel, poivre"
248047,Tisane de feuilles de Framboisier sauvage ,feuilles de framboisier sauvage séchées
248052,Gésiers confits ,"gésiers, gras de canard, sel"
248056,Cuisse confite ,"cuisse de canard, gras de canard, ail, sel"
248057,"Tourte au confit de canard et aux pommes, ","canard confit, oignon, pomme, vin blanc, farine, gras de canard, sel, poivre"
248060,Magret Fumé ,"magret, sel, poivre"
248063,Tarte aux bleuets (cuite),"bleuets, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
248066,Tarte aux quatre fuits (cuite),"framboises, fraises, pommes, bleuets, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
248068,Tarte crémeuse au sirop d'érable (cuite),"sirop d'érable, crème, sucre, amidon. croute: farine de blé enrichie, graisse végétale, eau, oeuf, lait, vinaigre, sel."
248076,"Croûte à tarte, abaissée dans une assiette","farine moulin la pierre, graisse végétale, eau, lait, oeufs"
248080,Petits pains farcies au jambon,"jambon de la jambonnière, mayonnaise, moutarde de dijon, pain blanc"
248084,Sauce à la viande,"boeuf et porc régional, tomate, oignon, carotte, céleri, poivron et épices"
248088,Barre de chocolat noir Valrhona Tainori 64% ,"pâte de cacao,sucre roux, beurre de cacao,lécithine de soja,vanille naturelle."
248090,Ensemble de roses,"sucre de canne roux, beurre de cacao, lait entier en poudre, pâte de cacao, vanille en poudre "
248095,Pâtes fraîches au pesto et aux tomates," semoule de blé dur, tomates, basilic,huile d'olive,parmesan,noix de pin, oeuf"
248096,Ravioli aux épinards et chèvre ,"semoule de blé dur, fromage de chèvre, épinard, oeufs, chapelure de pain,sel,poivre"
248101,Ravioli aux légumes grillés,"semoule de blé dur, carotte,oignon, aubergine, courgette, céleri, oeufs, chapelure de pain"
248102,Ravioli aux champignons fumés et chèvre,"semoule de blé dur, fromage de chèvre,portobello fumé, oeufs, chapelure de pain,sel,poivre"
248116,VIANDE HACHÉE À L'ÉRABLE,"lapin, eau, chapelure, blé grillé, sel, fécule tap,  sirop d'érable, érythorbate sodium, épices, saveur artificielle, caramel"
249023,Rôti de pointe de surlonge de wapiti,wapiti
249042,Sirop d'érable catégorie Ambré (anciennement Clair no.1),sirop d'érable
249048,Beurre d'érable,sirop d'érable
249050,Tire d'érable,sirop d'érable
249075,Beignets au sirop d'érable,"farine de blé enrichie, sucre, huile végétale, poudre à pâte, farine de soya, poudre de lactosérum et de lait écrémé, jaune d'oeuf en poudre, dextrose, sel, amidon de blé, lécithine de soya, colorant alimentaire, arôme artificiel, silicate de sodium et d'aluminium. trempés dans du sirop d'érable. "
249079,Tarte aux framboises et aux pommes (cuite),"framboises, pommes, sirop d'érable, sucre, amidon. croute: farine de blé enrichie, graisse végérale,eau, vinaigre, sel, oeuf et lait."
249082,Saucisse au foie gras et viande de canard,"poitrine de canard, foie gras, vin blanc, oignon, oeufs, sel,muscade, piment cayenne, boyau d'agneau"
249085,Muffins aux bananes,"farine blé moulin la pierre, bananes, sucre bio, beurre, crème sûre, oeufs, aromates"
249089,CHILI VÉGÉ AUX HARICOTS ET MAÏS,"haricots rouges, tomates, haricots noirs, grains de maïs, oignons, ail, huile, aromates"
249096,Pâté à la viande,"boeuf, porc, oignon, carotte, céleri, pomme de terre, aromates, croûte: farine moulin la pierre, graisse végétale, eau, lait, oeufs"
249099,Pâte à tarte,"farine moulin la pierre, graisse végétale, eau, lait, oeuf"
249103,Sauce provençale,"tomate, oignon, carotte,céleri,poivron, courgette, vin blanc,crème, amidon de maïs"
249106,"Cannelloni aux épinards, CONGELÉ (sous-vide) ","semoule de blé dur,épinards,ricotta, oeufs, chapelure de pain"
249114,SAUCISSES AUX POMMES,"lapin, eau, protéine, soya, chapelure bée grillé, sel, épices, pommes"
249115,SAUCISSES À L'ÉRABLE,"lapin, eau, chapelure blé grillé, sel, fécule tap, sirop érable, erythorbate, sodium, épices, saveur artificielle, caramel"
249123,Têtes de violon,produit non transformé
249126,Baume à lèvres/ Menthe et Citron,"cire d'abeille, huile d'olive, d'amande douce, de coco, beurre de karité, gomme de sapin, huiles essentielles de citron biologique et menthe."
249127,Baume à lèvres/ Ylang-ylang et Gingembre,"cire d'abeille, huile d'olive, de coco, d'amande de douce, beurre de karité, huile essentielle de gingembre et d'ylang-ylang"
249131,Tournedos de veau,veau
249133,Feuilleté porc confit à l'érable,"feuilletée(farine de blé enrichie, huile végétale,graine de coton,lecithine de soya,eau,sirop de maïs,sel,acide ascorbique,) porc,sirop d'érable,pomme, gingembre."
249134,Cubes de veau à brochette,veau
249137,Osso Buco (jarret de veau),veau
249140,Fromage frais,"lait de chèvre pasteurisé, ferment, présure, sel"
253001,Miel de fleurs de Pissenlits,miel
255006,HUILE DE TOURNESOL BIOLOGIQUE,tournesol
255021,Baume à lèvres/ Rose et Orange," cire d'abeille, huile d'olive, d'amande douce, de coco, beurre de karité, gomme de sapin, huile essentielles biologiques de bois de rose et d'orange."
255028,Steak de Faux-filet de veau,veau
255036,Yogourt nature,"lait pasteurisé de chèvre, ferment"
255038,Faisan entier,faisan
255044,Foie blond de pintade,foie blond de pintade
257008,Bavette de veau,veau
257014,Canneberges séchées,canneberges séchées sucrées port 40 g version française
257022,Pintade entière,pintade
265002,Rillette de dinde sauvage aux pommes et aux épices," dinde,pommes, gras de canard, épices, poivre, sel "
269003,Feta Pénélope huile de tournesol champy et fines herbes,"lait de chèvre pasteurisé, ferment présure sel, huile de tournesol champy et fines herbes"
269019,Farine de blé entier à pain,grain de blé dur biologique.
269028,Oeufs de caille,oeufs
269040,Viande  Hachée,sanglier
269047,Pâté de viande au sanglier,"pâte: farine blanche (farine,amylase,niacine,fer,mononitrate de thiamine,riboflavine,acide folique,peroxyde de benzoyle,acide ascorbique,azodicarbonamide), graisse (huile de soya,huile de coton et de soya hydeogénées, mono et diglycérides,hobt,acide citrique),eau, oeuf,vinaigre,sel.  "
269051,Chandelle modèle Ange,cire abeille pure
269063,"Savon au miel ""le  vert""","savon au miel vert
huile de coco, huile d’olive, huile de ricin, eau, soude, cire d’abeille, huile d’amande douce, miel, argile verte, huiles essentielles de menthe et eucalyptus
"
269070,Saucisses à Déjeuner," porc , fécule de topioca,sucre, épices, bioxyde de silicium, polysorbate, huile végétal."
269072,Biscotti aux pacanes,"farine du moulin la pierre,pacane,sucre,oeuf,beurre,poudre à pâte,sel."
